root@gitlab:~/dev/work/repositories/arc_study# python -m arc.run
INFO    | ARC | Task  43 | Failed    | runtime: 0.422s memory: 236.03Mb
INFO    | ARC | Task  41 | Failed    | runtime: 0.802s memory: 177.49Mb
INFO    | ARC | Task  44 | Failed    | runtime: 0.497s memory: 131.84Mb
INFO    | ARC | Task  18 | *Passed    | runtime: 6.690s memory: 271.51Mb
INFO    | ARC | Task  46 | Failed    | runtime: 0.434s memory: 177.49Mb
INFO    | ARC | Task  48 | Failed    | runtime: 0.320s memory: 271.77Mb
INFO    | ARC | Task  49 | Failed    | runtime: 0.342s memory: 177.49Mb
INFO    | ARC | Task  47 | Failed    | runtime: 0.618s memory: 131.84Mb
INFO    | ARC | Task  52 | Failed    | runtime: 0.539s memory: 131.84Mb
INFO    | ARC | Task  53 | Failed    | runtime: 0.113s memory: 131.84Mb
INFO    | ARC | Task  51 | Failed    | runtime: 0.765s memory: 177.49Mb
INFO    | ARC | Task  34 | Failed    | runtime: 5.878s memory: 163.84Mb
INFO    | ARC | Task  57 | Failed    | runtime: 0.028s memory: 163.84Mb
INFO    | ARC | Task  58 | *Passed    | runtime: 0.127s memory: 163.84Mb
INFO    | ARC | Task  59 | Failed    | runtime: 0.464s memory: 163.84Mb
INFO    | ARC | Task  45 | Failed    | runtime: 3.945s memory: 236.03Mb
INFO    | ARC | Task  61 | Failed    | runtime: 0.165s memory: 236.03Mb
INFO    | ARC | Task  50 | *Passed    | runtime: 3.659s memory: 271.77Mb
INFO    | ARC | Task  63 | Failed    | runtime: 0.313s memory: 271.77Mb
INFO    | ARC | Task  60 | Failed    | runtime: 1.552s memory: 163.84Mb
INFO    | ARC | Task  65 | Failed    | runtime: 0.840s memory: 163.84Mb
INFO    | ARC | Task  64 | Failed    | runtime: 1.214s memory: 271.77Mb
INFO    | ARC | Task  66 | Failed    | runtime: 0.752s memory: 163.84Mb
INFO    | ARC | Task  68 | Failed    | runtime: 0.610s memory: 163.84Mb
INFO    | ARC | Task  56 | Failed    | runtime: 5.503s memory: 252.33Mb
INFO    | ARC | Task  70 | Failed    | runtime: 0.649s memory: 252.33Mb
INFO    | ARC | Task  67 | Failed    | runtime: 2.014s memory: 271.77Mb
INFO    | ARC | Task  69 | Failed    | runtime: 0.910s memory: 163.84Mb
INFO    | ARC | Task  30 | Failed    | runtime: 12.012s memory: 153.29Mb
INFO    | ARC | Task  72 | Failed    | runtime: 0.376s memory: 271.77Mb
INFO    | ARC | Task  73 | Failed    | runtime: 0.845s memory: 163.84Mb
INFO    | ARC | Task  71 | Failed    | runtime: 2.366s memory: 252.58Mb
INFO    | ARC | Task  76 | Failed    | runtime: 2.275s memory: 271.77Mb
INFO    | ARC | Task  79 | Failed    | runtime: 0.785s memory: 252.58Mb
INFO    | ARC | Task  82 | Failed    | runtime: 0.241s memory: 252.58Mb
INFO    | ARC | Task  83 | Failed    | runtime: 0.132s memory: 252.58Mb
INFO    | ARC | Task  84 | *Passed    | runtime: 0.181s memory: 252.58Mb
INFO    | ARC | Task  85 | Failed    | runtime: 0.345s memory: 252.58Mb
INFO    | ARC | Task  86 | Failed    | runtime: 1.185s memory: 252.58Mb
INFO    | ARC | Task  87 | Failed    | runtime: 0.594s memory: 252.58Mb
INFO    | ARC | Task  88 | *Passed    | runtime: 0.050s memory: 252.58Mb
INFO    | ARC | Task  89 | Failed    | runtime: 0.355s memory: 252.58Mb
INFO    | ARC | Task  62 | *Passed    | runtime: 10.405s memory: 272.50Mb
INFO    | ARC | Task  90 | Failed    | runtime: 1.184s memory: 252.58Mb
INFO    | ARC | Task  91 | Failed    | runtime: 1.865s memory: 272.50Mb
INFO    | ARC | Task  92 | Failed    | runtime: 1.531s memory: 252.58Mb
INFO    | ARC | Task  94 | Failed    | runtime: 0.941s memory: 252.58Mb
INFO    | ARC | Task  95 | Failed    | runtime: 0.687s memory: 252.58Mb
INFO    | ARC | Task  55 | Failed    | runtime: 17.374s memory: 505.20Mb
INFO    | ARC | Task  93 | Failed    | runtime: 2.721s memory: 272.50Mb
